,Title,Production Budget,Worldwide,Domestic,Foreign,Year,Awards,Genre,Production,Rated,Imdb Rating
400,All the Money in the World,"$50,000,000","$56,996,304","$25,113,707","$31,882,597",2017,Nominated for 1 Oscar. Another 14 nominations.,"Biography, Crime, Drama, Mystery, Thriller",TriStar Pictures,R,6.8
401,The Big Sick,"$5,000,000","$56,411,585","$42,873,127","$13,538,458",2017,Nominated for 1 Oscar. Another 18 wins & 93 nominations.,"Comedy, Drama, Romance",Amazon Studios,R,7.6
402,All Eyez on Me,"$45,000,000","$55,668,698","$44,922,302","$10,746,396",2017,1 nomination.,"Biography, Drama, Music",SUMMIT/CODEBLACK FILMS/LIONSGATE,R,5.8
403,Downsizing,"$68,000,000","$55,003,890","$24,449,754","$30,554,136",2017,Nominated for 1 Golden Globe. Another 1 win & 15 nominations.,"Drama, Sci-Fi",Paramount Pictures,R,5.7
404,"I, Tonya","$11,000,000","$53,939,297","$30,014,539","$23,924,758",2017,Won 1 Oscar. Another 43 wins & 121 nominations.,"Biography, Comedy, Drama, Sport",NEON,R,7.5
405,Logan Lucky,"$29,000,000","$48,453,605","$27,780,977","$20,672,628",2017,2 wins & 11 nominations.,"Comedy, Crime, Drama",Fingerprint Releasing / Bleecker Street,PG-13,7.0
406,Phantom Thread,"$35,000,000","$47,756,590","$21,198,205","$26,558,385",2017,Won 1 Oscar. Another 57 wins & 116 nominations.,"Drama, Romance",Focus Features,R,7.5
407,Rough Night,"$20,000,000","$47,347,283","$22,105,643","$25,241,640",2017,1 win & 1 nomination.,"Comedy, Crime, Thriller",Columbia Pictures,R,5.2
408,Flatliners,"$26,000,000","$45,158,254","$16,883,115","$28,275,139",1990,Nominated for 1 Oscar. Another 2 nominations.,"Drama, Horror, Sci-Fi, Thriller",Sony Pictures Home Entertainment,R,6.6
409,Flatliners,"$20,000,000","$45,158,254","$16,883,115","$28,275,139",1990,Nominated for 1 Oscar. Another 2 nominations.,"Drama, Horror, Sci-Fi, Thriller",Sony Pictures Home Entertainment,R,6.6
410,The Snowman,"$35,000,000","$43,155,261","$6,700,035","$36,455,226",2017,1 nomination.,"Crime, Drama, Mystery, Thriller",Universal Studios,R,5.1
411,Gifted,"$7,000,000","$43,046,590","$24,801,212","$18,245,378",2017,6 wins & 7 nominations.,Drama,FilmNation Entertainment,PG-13,7.6
412,Loving Vincent,"$5,500,000","$42,187,665","$6,735,118","$35,452,547",2017,Nominated for 1 Oscar. Another 21 wins & 50 nominations.,"Animation, Biography, Crime, Drama, Mystery",Good Deed Entertainment,PG-13,7.8
413,Call Me by Your Name,"$3,500,000","$41,887,595","$18,095,701","$23,791,894",2017,Won 1 Oscar. Another 96 wins & 248 nominations.,"Drama, Romance",Sony Pictures Classics,R,7.9
414,Fist Fight,"$25,000,000","$41,087,017","$32,187,017","$8,900,000",2017,1 win.,Comedy,Warner Bros. Pictures,R,5.6
415,The Circle,"$18,000,000","$40,656,399","$20,497,844","$20,158,555",2017,2 wins & 1 nomination.,"Drama, Sci-Fi, Thriller",EuropaCorp / STXfilms,PG-13,5.3
416,Diary of a Wimpy Kid: The Long Haul,"$22,000,000","$40,140,972","$20,738,724","$19,402,248",2017,1 nomination.,"Comedy, Family",20th Century Fox,PG,4.3
417,Home Again,"$15,000,000","$37,270,721","$27,020,284","$10,250,437",2017,1 win.,"Comedy, Drama, Romance",Open Road Films,PG-13,5.8
418,Kidnap,"$21,000,000","$34,814,102","$30,971,040","$3,843,062",2017,3 nominations.,"Crime, Drama, Thriller",Aviron Pictures,R,5.9
419,The House,"$40,000,000","$34,184,504","$25,584,504","$8,600,000",2017,1 win.,"Comedy, Crime",Warner Bros. Pictures,R,5.6
